name,profession,known_for
Shekhar Kapur,actor|director|producer,tt0240510|tt0414055|tt0109206|tt0127536
Mukul Anand,director|writer|producer,tt0104607|tt0102201|tt0098999|tt0092026
Mani Kaul,director|writer|actor,tt0207626|tt0066514|tt0070009|tt0102515
Vikramaditya Motwane,producer|writer|director,tt0238936|tt3322420|tt1639426|tt1327035
Kaizad Gustad,director|writer|miscellaneous,tt0330082|tt3309662|tt0168529|tt0819646
Raj Kapoor,actor|producer|director,tt0066070|tt0152139|tt0058547|tt0084532
Rakesh Roshan,actor|producer|director,tt1029231|tt0432637|tt0254481|tt0234000
Shammi Kapoor,actor|director,tt0084866|tt1839596|tt0231226|tt0147925
Shashi Kapoor,actor|producer|assistant_director,tt0072860|tt0077783|tt0080982|tt0101283
E.V.V. Satyanarayana,director|writer|producer,tt1606217|tt1791479|tt1258121|tt0282554
Hema Malini,actress|producer|director,tt0337578|tt0073707|tt0081147|tt0072026
Sunil Dutt,actor|producer|director,tt0067668|tt0059354|tt0063404|tt0057332
Kodanda Rami Reddy A.,director|writer|actor,tt0331846|tt1625547|tt0245731|tt0245872
Satyajit Ray,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
Rajendra Kumar,actor|producer|miscellaneous,tt0234141|tt0246286|tt0139157|tt0058921
Shobhna Samarth,actress|director,tt0331297|tt0156360|tt0233586|tt0233303
Manoj Kumar,actor|writer|music_department,tt0072100|tt0233464|tt0146335|tt0149814
Mehboob Khan,director|producer|actor,tt0044318|tt0232674|tt0038302|tt0050188
Majid Majidi,director|writer|actor,tt0233841|tt0118849|tt0117315|tt0191043
Khalid Mohamed,writer|director|actor,tt0255713|tt0438981|tt0348172|tt0248012
Vidhu Vinod Chopra,writer|producer|director,tt0456144|tt0374887|tt1187043|tt2338151
Nana Patekar,actor|music_department|director,tt0110280|tt0402014|tt0451631|tt6929642
Subhash Ghai,writer|producer|actor,tt0107311|tt0119861|tt0152836|tt0102844
Farah Khan,miscellaneous|actress|writer,tt2461132|tt0292490|tt0347473|tt1024943
Santosh Sivan,cinematographer|director|producer,tt0249371|tt0169302|tt0295294|tt0870195
Dev Anand,actor|producer|director,tt0053980|tt0059246|tt0066241|tt0051806
Yash Chopra,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
Khwaja Ahmad Abbas,writer|director|producer,tt0152400|tt0064915|tt0050820|tt0044360
John Abraham,director|writer|assistant_director,tt0077131|tt0090634|tt0078961|tt0078463
Hadi Abrar,director|assistant_director|producer,tt1279105|tt0121989|tt6046994|tt0232079
Nikkhil Advani,writer|director|producer,tt1172587|tt2385104|tt6084582|tt0347304
Ahathian,director|writer,tt0292552|tt0244794|tt0984202|tt8238236
Jalal Agha,actor|director|writer,tt0083987|tt0073707|tt6291976|tt0172509
Atul Agnihotri,actor|producer|director,tt1729637|tt10888594|tt0396563|tt1087856
Sunil Agnihotri,director|producer|assistant_director,tt3837208|tt0104660|tt1238718|tt0289685
Manoj Agrawal,assistant_director|director|producer,tt0339878|tt0244528|tt0119862|tt10087614
Sukhdev Ahluwalia,director|writer|camera_department,tt0150348|tt2728318|tt0150317|tt0152531
Sultan Ahmed,director|producer|writer,tt0343850|tt0405852|tt0077596|tt0070166
Ashok Ahuja,director,tt0177480|tt3508198
S.A. Akbar,director|assistant_director,tt0176011|tt0451780|tt0283989|tt0230141
Khalid Akhtar,director|assistant_director|actor,tt0060310|tt0176101|tt0359580|tt0361948
Zoya Akhtar,writer|producer|director,tt2395469|tt1787988|tt1562872|tt4110568
Haidar Ali,actor|writer|director,tt0449994|tt0121989|tt0298437|tt1629424
Muzaffar Ali,director|writer|producer,tt0083248|tt3826186|tt0149674|tt0150683
Abrar Alvi,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
Amarjeet,actor|producer|director,tt0083987|tt0225961|tt0274944|tt0275363
K. Amarnath,director|producer|writer,tt0154700|tt0154264|tt0154863|tt0154312
Shimit Amin,editorial_department|sound_department|editor,tt0112702|tt0402014|tt0341266|tt0871510
Kamal Amrohi,writer|director|music_department,tt0067546|tt0045666|tt0152148|tt0041619
Anand,actor|assistant_director|director,tt0376886|tt0343048|tt0092049|tt0193246
Chetan Anand,director|writer|actor,tt0154942|tt0154749|tt0154565|tt0140784
Deepak Anand,director|editor|actor,tt0318956|tt7191668|tt0103763|tt0374342
Gogi Anand,assistant_director|director|actor,tt0066241|tt3890300|tt0276925|tt0275291
Inder Raj Anand,writer|director,tt0058547|tt0058467|tt0049041|tt0052560
Ketan Anand,director|actor|assistant_director,tt0363993|tt0177503|tt3509180|tt0112308
Tinnu Anand,actor|director|writer,tt1166100|tt0093949|tt1620719|tt0082594
Vijay Anand,writer|actor|director,tt0059246|tt0154685|tt0155088|tt0154265
Rajiv Anchal,director|writer|art_director,tt0415943|tt0282843|tt0372171|tt0353616
Nisar Ahmad Ansari,actor|director|producer,tt0154695|tt0154236|tt0256063|tt0155370
Faaiz Anwar,music_department|soundtrack|producer,tt0286416|tt1620719|tt1093370|tt0343048
Aparna Sen,actress|director|writer,tt0329393|tt0249866|tt0081968|tt1620620
Prakash Arora,assistant_director|director|actor,tt0040067|tt0046799|tt0041161|tt0043306
Prem Narayan Arora,producer|director,tt0154943|tt0154731|tt0154413|tt0139303
K. Asif,director|producer|writer,tt0091439|tt0133014|tt0054098|tt0037174
Apurva Asrani,editor|writer|director,tt0195231|tt6405126|tt0388315|tt0271197
Joy Augustine,writer|director|producer,tt3720320|tt0285319|tt0172509|tt0117878
Gopal B.,director,tt1579806|tt1228966|tt1575672|tt1583218
Baby,director|writer|producer,tt0246046|tt0333052|tt0334083|tt0279393
Rajnish Bahl,director,tt0155195
Deepak Bahry,director|producer|actor,tt0359444|tt0106799|tt0290213|tt0366880
K. Balachander,director|writer|producer,tt0155124|tt0155256|tt0082314|tt0154159
S.S. Balan,director|producer,tt2061666|tt0061370|tt0293634|tt0284248
Deepak Kumar Bandhu,actor|director|soundtrack,tt0347332|tt0319736|tt1606162|tt0265343
S. Bannerjee,director|music_department,tt0139444|tt0371894|tt0139749|tt0052051
K. Bapaiah,director|writer,tt0112876|tt0099869|tt0154412|tt0154118
Bapu,director|writer|miscellaneous,tt0155855|tt1453939|tt1783377|tt0156082
Sooraj R. Barjatya,producer|writer|director,tt0100095|tt3595298|tt0494290|tt0110076
Chandra Barot,director|assistant_director|producer,tt0077451|tt2652374|tt6081002|tt0389296
Jahnu Barua,director|writer|producer,tt0399254|tt0454504|tt0093136|tt0113311
Harry Baweja,producer|director|writer,tt0481241|tt0779768|tt0364621|tt0490170
Anees Bazmee,writer|director|assistant_director,tt1146325|tt0488798|tt1708532|tt0451833
Vishram Bedekar,director|writer|producer,tt0362070|tt0156128|tt0037209|tt0133188
Narendra Bedi,director|writer|miscellaneous,tt0455070|tt0155846|tt0075632|tt0071205
Rajinder Singh Bedi,writer|director|producer,tt0059445|tt0137455|tt0175908|tt0050665
Ramesh Behl,producer|director|actor,tt0077792|tt0086156|tt0373041|tt0246286
Dev Benegal,director|writer|producer,tt3366346|tt1190894|tt0215196|tt0109732
Shyam Benegal,director|writer|producer,tt0090202|tt0071145|tt0075747|tt0077783
Devika Bhagat,writer|assistant_director|director,tt2176013|tt2951576|tt0372183|tt10763268
Master Bhagwan,actor|director|writer,tt0137349|tt1309415|tt0155517|tt0155541
Bhagyaraj,actor|writer|director,tt0155927|tt0090575|tt0117099|tt0109116
Lekhraj Bhakri,director|writer|producer,tt0385894|tt0414430|tt0414506|tt0355716
Mohan Bhakri,director|writer|producer,tt0381324|tt0454485|tt0363740|tt0440530
Sanjay Leela Bhansali,producer|director|writer,tt0150992|tt0375611|tt3735246|tt0238936
Vishal Bhardwaj,composer|soundtrack|writer,tt1274295|tt4934950|tt3390572|tt0488414
Vijay K. Bhaskar,director|writer,tt0355742|tt0928152|tt1018698|tt0457391
Sudarshan Bhatia,director,tt0051705
Harsukh Jagneshwar Bhatt,director|assistant_director|producer,tt0156556|tt0156718|tt0156724|tt0156995
Mahesh Bhatt,producer|director|writer,tt0307873|tt0088031|tt0083578|tt0211126
Nanabhai Bhatt,director|writer|producer,tt0139705|tt0384268|tt0156783|tt0156254
Pooja Bhatt,actress|producer|director,tt0205189|tt0156891|tt0399942|tt0156985
Pravin Bhatt,cinematographer|director|writer,tt0156985|tt0448454|tt0149857|tt0978627
Vijay Bhatt,director|producer|miscellaneous,tt0044392|tt0156606|tt0139419|tt0156576
Vikram Bhatt,writer|director|producer,tt1301698|tt0190419|tt3848938|tt0307873
Basu Bhattacharya,director|producer|writer,tt0156258|tt0061072|tt0156290|tt0079938
Moni Bhattacharjee,director|assistant_director|miscellaneous,tt0349634|tt0062692|tt0054430|tt0057332
R. Bhattacharya,director|producer|writer,tt0247291|tt0351354|tt2769462|tt0378820
Bhimsain,director|producer|writer,tt0156534|tt0150718|tt6998554|tt3295870
A. Bhimsingh,director|writer|editorial_department,tt0156879|tt0156651|tt0059354|tt0063533
J.K. Bihari,miscellaneous|director|assistant_director,tt0168516|tt0359473|tt0359076|tt0362766
Apurba Kishore Bir,cinematographer|writer|director,tt1431288|tt0177481|tt1435530|tt0071083
Biswajit Chatterjee,actor|director|producer,tt0367922|tt0148575|tt0175572|tt0157845
Ajoy Biswas,director|actor|writer,tt3867480|tt4248860|tt0367660|tt0362111
K.C. Bokadia,director|producer|writer,tt0172704|tt1920986|tt0251346|tt0395672
Amit Bose,editor|sound_department|director,tt0078241|tt0138994|tt0248617|tt0390406
Dilip Bose,director|actor|writer,tt0290480|tt1584023|tt1584010|tt2609704
Nitin Bose,director|cinematographer|writer,tt0028786|tt0273527|tt0156468|tt0054910
Satyen Bose,director|writer|producer,tt0147036|tt0146645|tt0156342|tt0156923
Brij,director|producer|miscellaneous,tt0158331|tt0158375|tt0158314|tt0061206
Abbas Alibhai Burmawalla,director|producer|assistant_director,tt1017456|tt5785200|tt0326576|tt0106333
Mastan Alibhai Burmawalla,director|producer,tt0326576|tt5785200|tt1017456|tt0106333
Willard Carroll,producer|writer|director,tt0284334|tt0329354|tt0092695|tt0145734
John Cawas,actor|writer|director,tt0032395|tt0451805|tt0242832|tt0390654
Gurinder Chadha,writer|producer|director,tt0106408|tt0197096|tt0286499|tt0963743
Amiya Chakrabarty,director|writer|producer,tt0044527|tt0157524|tt0146266|tt0130489
Utpalendu Chakrabarty,director|writer|composer,tt0157452|tt0158013|tt0134580|tt0158007
J.D. Chakravarthi,actor|director|writer,tt0195231|tt0314008|tt0471646|tt1612022
Pramod Chakravorty,director|producer|assistant_director,tt0157944|tt0157844|tt0157337|tt0070253
Tapi Chanakya,director|writer|assistant_director,tt0157581|tt0157841|tt0158158|tt0157432
Chand,director|actor|writer,tt0368243|tt0358138|tt0355374|tt3113910
Ajay Chandhok,assistant_director|director|miscellaneous,tt0438894|tt1363363|tt4512230|tt0476819
N. Chandra,director|writer|editor,tt1002963|tt0287111|tt0306855|tt0096252
Tanuja Chandra,director|writer|actress,tt7399470|tt0332766|tt0823261|tt0118983
Chandrakant,director|writer|producer,tt0157342|tt0157845|tt0157959|tt0157843
S.A. Chandrashekhar,director|writer|actor,tt1192385|tt6823034|tt1326149|tt0319583
Chandu,miscellaneous|camera_department|actor,tt0284137|tt0357875|tt0147811|tt0079584
Basu Chatterjee,director|writer|producer,tt0064935|tt0079364|tt0072064|tt0152720
Samar Chatterjee,actor|director|producer,tt0056850|tt0176072|tt0389304|tt0058257
Kartick Chattopadhyay,director,tt0157454|tt0158022|tt0049708|tt0157726
Anil Chaudhary,actor|director|writer,tt7139504|tt1852179|tt0240849|tt2962230
Sanjay Chhel,writer|music_department|director,tt1132595|tt0120540|tt0220597|tt0807758
Leela Chitnis,actress|director|music_department,tt0031527|tt0270274|tt0270273|tt0052154
Chitrayug,director,tt0280398
Abhay Chopra,actor|director,tt0111068|tt0456413|tt0189633|tt0248185
Aditya Chopra,producer|writer|director,tt0420332|tt0213890|tt1182937|tt0112870
B.R. Chopra,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
Ravi Chopra,director|producer|writer,tt0158534|tt0158451|tt0337578|tt0158694
Mohan Choti,actor|director|producer,tt0242272|tt0146335|tt0187176|tt2679238
Greg Coyes,director|writer|producer,tt0243583|tt0276360|tt0088591|tt0235968
Lawrence D'Souza,producer|cinematographer|director,tt0449994|tt0102825|tt0267905|tt0284811
Parvin Dabas,actor|director|writer,tt0265343|tt1188996|tt0466460|tt1630282
Randhir Kapoor,actor|producer|director,tt0152139|tt0121352|tt0177497|tt0357811
Dharmesh Darshan,writer|director|music_department,tt0117437|tt0232079|tt0255111|tt0107440
Suneel Darshan,producer|director|writer,tt0267252|tt0338477|tt0444767|tt0845535
Ram Daryani,director,tt0372790|tt0158706|tt0129422|tt0158551
Bhagwan Das Varma,director|writer|producer,tt0134300|tt0130489|tt0045524|tt0374137
K.S.R. Das,director|writer|editor,tt1360879|tt1360170|tt0454411|tt0499246
Nandita Das,actress|animation_department|writer,tt0280465|tt1263679|tt0312859|tt6923462
Anand Dasani,director,tt4406512|tt0076288
Narayana Rao Dasari,director|writer|actor,tt0251834|tt0280845|tt0262781|tt0262447
Buddhadev Dasgupta,director|writer|music_department,tt0077457|tt0106546|tt0255665|tt0332699
Ravindra Dave,director|producer,tt0212857|tt0213105|tt0212745|tt0052082
Manohar Deepak,actor|director|miscellaneous,tt0053629|tt0050758|tt0068756|tt0231896
Deepshika Nagpal,actress|writer|producer,tt1047519|tt0136352|tt0482246|tt1826051
Danny Denzongpa,actor|music_department|soundtrack,tt1305797|tt0104607|tt3848892|tt0120102
