,actor,collab,count,genres
0,Anupam Kher,Avtar Gill,17,"['Comedy|Romance', 'Comedy|Musical|Romance', 'Comedy|Mystery', 'Musical|Romance', 'Action|Comedy|Drama', 'Comedy|Romance', 'Comedy|Drama|Musical', 'Drama|Romance', 'Action|Thriller', 'Action', 'Action|Drama', 'Adventure|Comedy|Drama', 'Drama', 'Drama', 'Drama|Thriller', 'Drama|Family', 'Crime|Drama']"
1,Anupam Kher,Tabu,5,"['Action|Drama|Romance', 'Crime|Drama|Thriller', 'Action|Comedy|Drama', 'Comedy|Drama|Romance', 'Drama|Thriller']"
2,Anupam Kher,Om Prakash,1,['Horror|Mystery']
3,Anupam Kher,Anjan Srivastav,6,"['Drama|Family|Musical', 'Action|Drama|Romance', 'Action|Comedy|Crime', 'Action|Drama|Musical', 'Action|Drama', 'Action|Crime|Drama']"
4,Anupam Kher,Mushtaq Khan,9,"['Drama|Mystery|Thriller', 'Comedy|Drama|Romance', 'Musical|Romance', 'Drama|Romance', 'Action|Drama', 'Action', 'Comedy|Romance', 'Adventure|Comedy|Drama', 'Action|Crime|Drama']"
5,Anupam Kher,Iftekhar,2,"['Crime', 'Drama|Family|Romance']"
6,Anupam Kher,Pinchoo Kapoor,1,['Drama|Thriller']
7,Anupam Kher,Juhi Chawla,11,"['Comedy|Romance', 'Action|Adventure|Animation', 'Drama|Fantasy|Romance', 'Comedy|Romance', 'Drama|Romance', 'Comedy|Romance', 'Action|Comedy|Crime', 'Drama', 'Drama|Romance|Thriller', 'Drama', 'Action|Drama']"
8,Anupam Kher,Rati Agnihotri,6,"['Comedy', 'Comedy|Romance', 'Action|Adventure|Comedy', 'Drama|Family|Musical', 'Comedy|Drama|Romance', 'Drama|Family|Romance']"
9,Anupam Kher,Sujit Kumar,2,"['Comedy|Drama|Romance', 'Drama|Family']"
10,Anupam Kher,Farida Jalal,16,"['Comedy|Romance', 'Action|Crime|Drama', 'Action|Drama|Romance', 'Action|Romance', 'Comedy|Drama|Romance', 'Drama', 'Drama|Romance', 'Comedy|Drama|Musical', 'Comedy|Drama|Romance', 'Drama|Romance', 'Action|Drama', 'Action|Drama|Thriller', 'Action|Drama', 'Action|Crime|Drama', 'Drama|Romance', 'Drama|Family']"
11,Anupam Kher,Sunil Dutt,2,"['Drama', 'Drama|Family']"
12,Anupam Kher,Dalip Tahil,12,"['Comedy|Drama|Sport', 'Action|Romance', 'Drama|Romance', 'Action|Comedy|Drama', 'Action|Comedy|Drama', 'Action|Drama|Romance', 'Action|Drama|Musical', 'Action|Drama|Family', 'Action|Drama|Musical', 'Action|Crime|Drama', 'Drama|Family', 'Action|Crime|Drama']"
13,Anupam Kher,Asrani,13,"['Comedy', 'Comedy|Drama|Romance', 'Action|Comedy|Musical', 'Drama|Musical|Romance', 'Action|Drama|Romance', 'Comedy|Drama|Romance', 'Comedy|Romance', 'Drama', 'Action|Crime|Drama', 'Action|Drama|Romance', 'Action|Family', 'Action|Drama', 'Action']"
14,Anupam Kher,Viju Khote,7,"['Action|Comedy|Crime', 'Action|Comedy|Crime', 'Drama|Romance', 'Comedy|Drama|Romance', 'Action|Adventure|Crime', 'Crime', 'Action|Crime|Drama']"
15,Anupam Kher,Paresh Rawal,20,"['Comedy|Drama|Romance', 'Comedy|Drama|Romance', 'Action|Comedy|Romance', 'Action|Comedy|Musical', 'Drama|Romance', 'Action|Thriller', 'Drama', 'Drama|Family', 'Action|Drama', 'Action|Crime|Drama', 'Action|Drama|Musical', 'Romance', 'Drama', 'Drama|Family', 'Drama', 'Action|Drama|Musical', 'Action|Crime|Drama', 'Action|Family', 'Action|Drama', 'Action|Crime|Drama']"
16,Anupam Kher,Sushma Seth,6,"['Drama|Romance', 'Action|Comedy|Musical', 'Action|Drama|Musical', 'Drama|Musical|Romance', 'Drama|Family', 'Action|Thriller']"
